P19,P8
P14,P8
P12,P8
P20,P8
P21,P8
P30,P8
P50,P8
P36,P33
P31,P23
P35,P23
P42,P26
P17,P6
P21,P10
P30,P16
P36,P30
P43,P30
P48,P30
P56,P46
P20,P19
P23,P19
P31,P19
P35,P19
P41,P19
P38,P24
P54,P36
P20,P4
P21,P4
P31,P4
P48,P4
P39,P32
P42,P38
P15,P7
P14,P9
P36,P35
P36,P21
P53,P21
P18,P3
P24,P3
P48,P3
